This is a logfile generated by pires.obd.readerlat:42.64248882;long:-71.31907987;alt:1.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460087743623;42.64178184;-71.31842377;0.0;;null;null;null;null;...NODATA;1430RPM;null;null;null;null;null;null;null;null;45km/h;null;null;00:05:31;null;null;null;47.1%;null
1460087747637;42.64142104;-71.31801115;-1.0;;null;null;null;null;null;1501RPM;null;null;null;null;null;null;null;null;45km/h;null;null;00:05:34;null;null;null;72.9%;null
1460087751650;42.64108601;-71.31760561;-1.0;;null;null;null;null;null;1064RPM;null;null;null;null;null;null;null;null;45km/h;null;null;00:05:38;null;null;null;68.6%;null
1460087755657;42.6409965;-71.31712351;0.0;;null;null;null;null;null;1148RPM;null;null;null;null;null;null;null;null;39km/h;null;null;00:05:42;null;null;null;68.6%;null
1460087759672;42.64093815;-71.31684;0.0;;null;null;null;null;null;863RPM;null;null;null;null;null;null;null;null;23km/h;null;null;00:05:46;null;null;null;68.6%;null
1460087763676;42.64073178;-71.31677708;0.0;;null;null;null;null;null;1622RPM;null;null;null;null;null;null;null;null;22km/h;null;null;00:05:50;null;null;null;67.5%;null
1460087767685;42.64042807;-71.31665624;0.0;;null;null;null;null;null;1914RPM;null;null;null;null;null;null;null;null;32km/h;null;null;00:05:54;null;null;null;65.1%;null
1460087771702;42.64004731;-71.31640008;2.0;;null;null;null;null;null;1665RPM;null;null;null;null;null;null;null;null;42km/h;null;null;00:05:58;null;null;null;63.9%;null
1460087775719;42.63962242;-71.31598371;2.0;;null;null;null;null;null;1615RPM;null;null;null;null;null;null;null;null;52km/h;null;null;00:06:02;null;null;null;57.6%;null
1460087779733;42.63915385;-71.31554017;1.0;;null;null;null;null;null;1346RPM;null;null;null;null;null;null;null;null;56km/h;null;null;00:06:06;null;null;null;61.6%;null
1460087783748;42.63868962;-71.31507503;3.0;;null;null;null;null;null;1315RPM;null;null;null;null;null;null;null;null;56km/h;null;null;00:06:10;null;null;null;55.7%;null
1460087787765;42.63824196;-71.31458335;6.0;;null;null;null;null;null;2071RPM;null;null;null;null;null;null;null;null;56km/h;null;null;00:06:13;null;null;null;63.1%;null
1460087791778;42.63776154;-71.31415127;8.0;;null;null;null;null;null;1700RPM;null;null;null;null;null;null;null;null;56km/h;null;null;00:06:17;null;null;null;67.5%;null
1460087795784;42.63734257;-71.3137833;6.0;;null;null;null;null;null;1150RPM;null;null;null;null;null;null;null;null;55km/h;null;null;00:06:21;null;null;null;68.6%;null
1460087799796;42.63730963;-71.31373388;6.0;;null;null;null;null;null;747RPM;null;null;null;null;null;null;null;null;5km/h;null;null;00:06:25;null;null;null;65.9%;null
1460087803805;42.63730963;-71.31373388;6.0;;null;null;null;null;null;723RPM;null;null;null;null;null;null;null;null;0km/h;null;null;00:06:29;null;null;null;56.1%;null
1460087807814;42.63730963;-71.31373388;6.0;;null;null;null;null;null;740RPM;null;null;null;null;null;null;null;null;0km/h;null;null;00:06:33;null;null;null;53.7%;null
