This is a logfile generated by pires.obd.readerlat:42.55186826;long:-71.26612661;alt:43.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460324153018;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;...NODATA;920RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:03:56;null;null;null;null;null
1460324157037;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;915RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:03:59;null;null;null;null;null
1460324161052;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;915RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:03;null;null;null;null;null
1460324165068;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;914RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:07;null;null;null;null;null
1460324169091;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;904RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:11;null;null;null;null;null
1460324173102;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;912RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:15;null;null;null;null;null
1460324177111;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;895RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:19;null;null;null;null;null
1460324181115;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;733RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:23;null;null;null;null;null
1460324185125;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;740RPM;null;null;null;null;null;null;null;null;2.49mph;null;null;00:04:27;null;null;null;null;null
1460324189131;42.55186826;-71.26612661;43.0;;null;null;NODATA;null;null;1325RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:04:31;null;null;null;null;null
1460324193143;42.55196033;-71.26610825;40.0;;null;null;NODATA;null;null;1413RPM;null;null;null;null;null;null;null;null;5.59mph;null;null;00:04:35;null;null;null;null;null
1460324197148;42.55217768;-71.26621223;37.0;;null;null;NODATA;null;null;1810RPM;null;null;null;null;null;null;null;null;9.94mph;null;null;00:04:39;null;null;null;null;null
1460324201160;42.55235716;-71.26630304;37.0;;null;null;NODATA;null;null;1296RPM;null;null;null;null;null;null;null;null;12.43mph;null;null;00:04:42;null;null;null;null;null
1460324205172;42.55252124;-71.26635373;37.0;;null;null;NODATA;null;null;1004RPM;null;null;null;null;null;null;null;null;9.32mph;null;null;00:04:47;null;null;null;null;null
1460324209182;42.55256899;-71.26637866;37.0;;null;null;NODATA;null;null;862RPM;null;null;null;null;null;null;null;null;7.46mph;null;null;00:04:51;null;null;null;null;null
1460324213189;42.55261542;-71.2666257;39.0;;null;null;NODATA;null;null;800RPM;null;null;null;null;null;null;null;null;6.84mph;null;null;00:04:55;null;null;null;null;null
1460324217207;42.55257326;-71.26685132;39.0;;null;null;NODATA;null;null;953RPM;null;null;null;null;null;null;null;null;10.56mph;null;null;00:04:58;null;null;null;null;null
1460324221210;42.55252166;-71.26703845;29.0;;null;null;NODATA;null;null;926RPM;null;null;null;null;null;null;null;null;9.32mph;null;null;00:05:03;null;null;null;null;null
1460324225228;42.55247294;-71.26721995;35.0;;null;null;NODATA;null;null;967RPM;null;null;null;null;null;null;null;null;11.18mph;null;null;00:05:06;null;null;null;null;null
1460324229244;42.55238929;-71.26748462;34.0;;null;null;NODATA;null;null;977RPM;null;null;null;null;null;null;null;null;9.94mph;null;null;00:05:10;null;null;null;null;null
1460324233248;42.55229933;-71.26771686;32.0;;null;null;NODATA;null;null;1026RPM;null;null;null;null;null;null;null;null;11.81mph;null;null;00:05:14;null;null;null;null;null
1460324237251;42.55222741;-71.26799589;31.0;;null;null;NODATA;null;null;1285RPM;null;null;null;null;null;null;null;null;13.67mph;null;null;00:05:18;null;null;null;null;null
1460324241263;42.5521661;-71.2682263;34.0;;null;null;NODATA;null;null;1028RPM;null;null;null;null;null;null;null;null;11.18mph;null;null;00:05:22;null;null;null;null;null
1460324245290;42.55209764;-71.26846165;34.0;;null;null;NODATA;null;null;1240RPM;null;null;null;null;null;null;null;null;11.81mph;null;null;00:05:26;null;null;null;null;null
1460324249297;42.55204274;-71.26868942;35.0;;null;null;NODATA;null;null;1197RPM;null;null;null;null;null;null;null;null;11.81mph;null;null;00:05:30;null;null;null;null;null
1460324253313;42.55204517;-71.26876291;35.0;;null;null;NODATA;null;null;883RPM;null;null;null;null;null;null;null;null;6.84mph;null;null;00:05:34;null;null;null;null;null
1460324257323;42.55207243;-71.26887685;35.0;;null;null;NODATA;null;null;962RPM;null;null;null;null;null;null;null;null;3.11mph;null;null;00:05:38;null;null;null;null;null
1460324261341;42.55222467;-71.26897384;35.0;;null;null;NODATA;null;null;1706RPM;null;null;null;null;null;null;null;null;8.08mph;null;null;00:05:42;null;null;null;null;null
1460324265355;42.55245506;-71.26907799;32.0;;null;null;NODATA;null;null;1431RPM;null;null;null;null;null;null;null;null;13.67mph;null;null;00:05:46;null;null;null;null;null
1460324269366;42.55270004;-71.26920699;35.0;;null;null;NODATA;null;null;1338RPM;null;null;null;null;null;null;null;null;17.40mph;null;null;00:05:50;null;null;null;null;null
1460324273372;42.55302716;-71.26939102;38.0;;null;null;NODATA;null;null;1780RPM;null;null;null;null;null;null;null;null;20.51mph;null;null;00:05:54;null;null;null;null;null
1460324277393;42.553264;-71.26950791;36.0;;null;null;NODATA;null;null;1650RPM;null;null;null;null;null;null;null;null;21.75mph;null;null;00:05:58;null;null;null;null;null
1460324281420;42.55366153;-71.26965723;39.0;;null;null;NODATA;null;null;1490RPM;null;null;null;null;null;null;null;null;19.88mph;null;null;00:06:02;null;null;null;null;null
1460324285431;42.55387967;-71.26976961;41.0;;null;null;NODATA;null;null;856RPM;null;null;null;null;null;null;null;null;15.53mph;null;null;00:06:06;null;null;null;null;null
1460324289453;42.55400607;-71.26981602;41.0;;null;null;NODATA;null;null;849RPM;null;null;null;null;null;null;null;null;10.56mph;null;null;00:06:10;null;null;null;null;null
1460324293467;42.55424673;-71.26963146;42.0;;null;null;NODATA;null;null;1627RPM;null;null;null;null;null;null;null;null;13.67mph;null;null;00:06:14;null;null;null;null;null
1460324297486;42.55456698;-71.2695564;43.0;;null;null;NODATA;null;null;1739RPM;null;null;null;null;null;null;null;null;19.88mph;null;null;00:06:18;null;null;null;null;null
1460324301499;42.5549936;-71.26957344;44.0;;null;null;NODATA;null;null;1525RPM;null;null;null;null;null;null;null;null;26.10mph;null;null;00:06:22;null;null;null;null;null
1460324305512;42.55548002;-71.26959982;45.0;;null;null;NODATA;null;null;1471RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:06:26;null;null;null;null;null
1460324309520;42.55597284;-71.26961211;46.0;;null;null;NODATA;null;null;1537RPM;null;null;null;null;null;null;null;null;31.07mph;null;null;00:06:29;null;null;null;null;null
1460324313537;42.55644784;-71.26954482;47.0;;null;null;NODATA;null;null;1554RPM;null;null;null;null;null;null;null;null;31.07mph;null;null;00:06:33;null;null;null;null;null
1460324317542;42.55690836;-71.26943151;47.0;;null;null;NODATA;null;null;1051RPM;null;null;null;null;null;null;null;null;29.20mph;null;null;00:06:37;null;null;null;null;null
1460324321554;42.55731316;-71.26934604;49.0;;null;null;NODATA;null;null;922RPM;null;null;null;null;null;null;null;null;26.10mph;null;null;00:06:41;null;null;null;null;null
1460324325563;42.55759431;-71.26921224;49.0;;null;null;NODATA;null;null;939RPM;null;null;null;null;null;null;null;null;20.51mph;null;null;00:06:45;null;null;null;null;null
1460324329593;42.55769205;-71.26914913;50.0;;null;null;NODATA;null;null;767RPM;null;null;null;null;null;null;null;null;9.32mph;null;null;00:06:49;null;null;null;null;null
1460324333614;42.55769205;-71.26914913;50.0;;null;null;NODATA;null;null;634RPM;null;null;null;null;null;null;null;null;1.86mph;null;null;00:06:53;null;null;null;null;null
1460324337624;42.55775232;-71.26908214;50.0;;null;null;NODATA;null;null;1307RPM;null;null;null;null;null;null;null;null;2.49mph;null;null;00:06:57;null;null;null;null;null
1460324341652;42.55793208;-71.26890155;48.0;;null;null;NODATA;null;null;1652RPM;null;null;null;null;null;null;null;null;13.05mph;null;null;00:07:01;null;null;null;null;null
1460324345670;42.55809896;-71.26863493;48.0;;null;null;NODATA;null;null;1236RPM;null;null;null;null;null;null;null;null;16.16mph;null;null;00:07:05;null;null;null;null;null
1460324349695;42.55836495;-71.26865818;50.0;;null;null;NODATA;null;null;1580RPM;null;null;null;null;null;null;null;null;16.78mph;null;null;00:07:09;null;null;null;null;null
1460324353702;42.55868382;-71.26879493;50.0;;null;null;NODATA;null;null;1739RPM;null;null;null;null;null;null;null;null;20.51mph;null;null;00:07:13;null;null;null;null;null
1460324357706;42.5589829;-71.26893736;49.0;;null;null;NODATA;null;null;1163RPM;null;null;null;null;null;null;null;null;19.26mph;null;null;00:07:17;null;null;null;null;null
1460324361710;42.55923064;-71.26905322;50.0;;null;null;NODATA;null;null;912RPM;null;null;null;null;null;null;null;null;16.78mph;null;null;00:07:21;null;null;null;null;null
1460324365722;42.5593373;-71.26909656;50.0;;null;null;NODATA;null;null;776RPM;null;null;null;null;null;null;null;null;10.56mph;null;null;00:07:25;null;null;null;null;null
1460324369727;42.5593373;-71.26909656;50.0;;null;null;NODATA;null;null;604RPM;null;null;null;null;null;null;null;null;1.86mph;null;null;00:07:29;null;null;null;null;null
1460324373730;42.5593862;-71.2691108;52.0;;null;null;NODATA;null;null;605RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:07:33;null;null;null;null;null
1460324377742;42.55958579;-71.26920538;52.0;;null;null;NODATA;null;null;2054RPM;null;null;null;null;null;null;null;null;11.81mph;null;null;00:07:37;null;null;null;null;null
1460324381747;42.55985709;-71.26932253;52.0;;null;null;NODATA;null;null;1249RPM;null;null;null;null;null;null;null;null;17.40mph;null;null;00:07:41;null;null;null;null;null
1460324385798;42.56002814;-71.26936205;52.0;;null;null;NODATA;null;null;897RPM;null;null;null;null;null;null;null;null;13.67mph;null;null;00:07:44;null;null;null;null;null
1460324389812;42.56008814;-71.26940557;51.0;;null;null;NODATA;null;null;1604RPM;null;null;null;null;null;null;null;null;8.08mph;null;null;00:07:49;null;null;null;null;null
1460324393828;42.56010228;-71.26977058;52.0;;null;null;NODATA;null;null;1457RPM;null;null;null;null;null;null;null;null;14.91mph;null;null;00:07:52;null;null;null;null;null
1460324397845;42.55996958;-71.27016587;52.0;;null;null;NODATA;null;null;1431RPM;null;null;null;null;null;null;null;null;19.88mph;null;null;00:07:56;null;null;null;null;null
