This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029272174;42.65805558;-71.32294288;-3.0;;101kPa;88C;NODATA;28.2%;NODATA;787RPM;NODATA;2.87g/s;null;null;NODATA;Gasoline;53C;NODATA;0km/h;NODATA;5.5%;00:00:40;15.3%;MIL is OFF0 codes;;59.2%;1.0%
1462029278231;42.65805558;-71.32294288;-3.0;;101kPa;88C;NODATA;42.7%;NODATA;1084RPM;NODATA;3.98g/s;null;null;NODATA;Gasoline;53C;NODATA;5km/h;NODATA;5.5%;00:00:45;16.1%;MIL is OFF0 codes;;68.2%;1.0%
1462029284270;42.65805558;-71.32294288;-3.0;;101kPa;88C;NODATA;31.0%;NODATA;680RPM;NODATA;2.84g/s;null;null;NODATA;Gasoline;51C;NODATA;0km/h;NODATA;6.2%;00:00:51;15.3%;MIL is OFF0 codes;;63.5%;1.0%
1462029290312;42.65816221;-71.32312541;-2.0;;101kPa;88C;NODATA;32.2%;NODATA;921RPM;NODATA;5.73g/s;null;null;NODATA;Gasoline;50C;NODATA;11km/h;NODATA;3.9%;00:00:57;18.4%;MIL is OFF0 codes;;67.1%;1.0%
1462029296385;42.65824616;-71.32316772;-5.0;;101kPa;88C;NODATA;27.5%;NODATA;760RPM;NODATA;2.71g/s;null;null;NODATA;Gasoline;50C;NODATA;3km/h;NODATA;3.1%;00:01:03;15.3%;MIL is OFF0 codes;;64.3%;1.0%
1462029303439;42.65833768;-71.32349813;-4.0;;101kPa;88C;NODATA;53.7%;NODATA;1533RPM;NODATA;11.56g/s;null;null;NODATA;Gasoline;46C;NODATA;22km/h;NODATA;1.6%;00:01:10;20.0%;MIL is OFF0 codes;;70.6%;1.0%
1462029309493;42.65835501;-71.32406251;-2.0;;101kPa;89C;NODATA;60.8%;NODATA;1347RPM;NODATA;12.03g/s;null;null;NODATA;Gasoline;46C;NODATA;30km/h;NODATA;1.6%;00:01:16;20.4%;MIL is OFF0 codes;;69.8%;1.0%
1462029315548;42.65837248;-71.32435197;0.0;;101kPa;90C;NODATA;23.9%;NODATA;989RPM;NODATA;2.89g/s;null;null;NODATA;Gasoline;50C;NODATA;3km/h;NODATA;-0.8%;00:01:22;14.9%;MIL is OFF0 codes;;67.1%;1.0%
1462029321602;42.65838266;-71.3244833;0.0;;101kPa;89C;NODATA;44.7%;NODATA;1150RPM;NODATA;9.32g/s;null;null;NODATA;Gasoline;45C;NODATA;16km/h;NODATA;4.7%;00:01:28;19.2%;MIL is OFF0 codes;;58.8%;1.0%
1462029328655;42.65843268;-71.32501893;-1.0;;101kPa;89C;NODATA;67.1%;NODATA;1440RPM;NODATA;15.17g/s;null;null;NODATA;Gasoline;45C;NODATA;23km/h;NODATA;0.0%;00:01:34;21.6%;MIL is OFF0 codes;;66.7%;1.0%
