Time, Vehicle speed (MPH), Latitude, Longitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
03/24/2016 03:55:00.6472 PM,0,42.55181,-71.26652,38,0,0,7
03/24/2016 03:55:00.6510 PM,0,42.55181,-71.26652,37,0,0,5
03/24/2016 03:55:00.6510 PM,0,42.55181,-71.26652,37,0,0,4
03/24/2016 03:55:00.6511 PM,0,42.55181,-71.26651,37,0,0,3
03/24/2016 03:55:00.6512 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:01.0185 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:01.8387 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:02.7113 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:03.7146 PM,0,42.55182,-71.26651,38,0,0,3
03/24/2016 03:55:04.7186 PM,0,42.55182,-71.26651,38,0,0,3
03/24/2016 03:55:05.7141 PM,0,42.55182,-71.26651,38,0,0,3
03/24/2016 03:55:06.7388 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:07.7119 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:09.9080 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:10.8267 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:12.7125 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:13.7090 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:14.7122 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:15.7121 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:16.7766 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:17.7111 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:18.8370 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:20.8742 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:21.8084 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:22.8168 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:24.7107 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:25.9703 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:27.7115 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:28.7131 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:30.7393 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:31.8030 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:32.7865 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:33.7690 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:34.9633 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:35.8146 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:36.8218 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:37.8263 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:38.9234 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:39.9163 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:41.9284 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:43.7397 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:44.8963 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:46.8056 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:47.8015 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:48.7128 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:49.7204 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:50.9980 PM,0,42.55182,-71.26651,37,0,0,3
03/24/2016 03:55:52.7182 PM,0,42.55183,-71.26652,36,322.5,0.8386298,3
03/24/2016 03:55:53.8223 PM,0,42.55183,-71.26653,37,341.7,0.5721888,3
03/24/2016 03:55:54.8091 PM,0,42.55183,-71.26653,37,341.7,0.5707889,3
03/24/2016 03:55:55.8637 PM,0,42.55182,-71.26653,39,182.5,0.82,3
03/24/2016 03:55:56.7954 PM,1.864114,42.55182,-71.26653,39,182.5,0.82,3
03/24/2016 03:55:57.7416 PM,4.349598,42.5518,-71.26655,37,182.7,1.580285,3
03/24/2016 03:55:58.7949 PM,4.349598,42.55179,-71.26656,36,182.7,1.573849,4
03/24/2016 03:55:59.7982 PM,5.592341,42.55178,-71.26662,38,264.1,2.642291,3
03/24/2016 03:56:00.8157 PM,6.835083,42.55178,-71.26666,39,268.8,3.540014,3
03/24/2016 03:56:02.5577 PM,8.077826,42.55178,-71.26673,40,264.2,4.332597,3
03/24/2016 03:56:03.7250 PM,10.56331,42.55177,-71.26682,39,258.3,4.917977,3
03/24/2016 03:56:04.7976 PM,10.56331,42.55177,-71.26688,39,254.7,4.910163,3
03/24/2016 03:56:05.7939 PM,10.56331,42.55175,-71.26695,40,247.7,5.680563,3
03/24/2016 03:56:06.7261 PM,11.80605,42.55174,-71.26702,39,256.4,5.04001,4
03/24/2016 03:56:07.8190 PM,11.80605,42.55173,-71.26708,38,255.1,5.867172,4
03/24/2016 03:56:08.8281 PM,13.04879,42.55173,-71.26717,37,256,6.149406,4
03/24/2016 03:56:09.8015 PM,13.67017,42.55172,-71.26725,36,256.6,6.565554,3
03/24/2016 03:56:10.8013 PM,14.91291,42.55171,-71.26733,35,258.5,6.842953,4
03/24/2016 03:56:11.9974 PM,14.91291,42.55169,-71.26743,36,255.6,6.967819,4
03/24/2016 03:56:13.7148 PM,14.29154,42.55167,-71.26758,36,255.5,6.960582,6
03/24/2016 03:56:14.8633 PM,13.04879,42.55167,-71.26763,35,255,6.15832,4
03/24/2016 03:56:15.8248 PM,14.29154,42.55165,-71.2677,34,253.5,6.431119,4
03/24/2016 03:56:16.8185 PM,14.29154,42.55164,-71.26778,33,251.3,6.76539,4
03/24/2016 03:56:17.7946 PM,14.29154,42.55162,-71.26787,33,253.6,6.870589,4
03/24/2016 03:56:18.7952 PM,14.29154,42.55161,-71.26794,33,251.4,6.580122,5
03/24/2016 03:56:19.7749 PM,15.53428,42.55159,-71.26801,33,251.4,6.570008,7
03/24/2016 03:56:20.7158 PM,14.91291,42.55157,-71.2681,33,253.2,6.340126,5
03/24/2016 03:56:22.2979 PM,14.91291,42.55156,-71.26819,31,246.6,5.480739,5
03/24/2016 03:56:23.8081 PM,11.18468,42.55153,-71.2683,31,249.8,5.130351,5
03/24/2016 03:56:24.8130 PM,12.42742,42.55151,-71.26836,30,249.8,5.130088,6
03/24/2016 03:56:25.8011 PM,12.42742,42.55147,-71.26842,32,250.6,6.200202,5
03/24/2016 03:56:26.8703 PM,13.67017,42.55144,-71.26848,32,249.9,6.904897,5
03/24/2016 03:56:27.8594 PM,14.91291,42.55141,-71.26857,33,250.6,7.312216,5
03/24/2016 03:56:28.9489 PM,14.91291,42.55139,-71.26865,33,250.6,7.310554,6
03/24/2016 03:56:29.9179 PM,15.53428,42.55138,-71.26875,33,256.7,6.970459,5
03/24/2016 03:56:30.8197 PM,15.53428,42.55138,-71.26883,33,267.8,6.097385,5
03/24/2016 03:56:32.0189 PM,14.29154,42.55137,-71.2689,34,272.7,4.021505,4
03/24/2016 03:56:33.8705 PM,8.699197,42.55138,-71.26898,35,287.5,3.735358,4
03/24/2016 03:56:34.8136 PM,7.456454,42.5514,-71.26899,34,321.8,3.832558,4
03/24/2016 03:56:35.7199 PM,8.699197,42.55144,-71.269,34,358.3,4.732706,4
03/24/2016 03:56:36.8111 PM,9.941939,42.55148,-71.269,34,18.4,5.110479,3
03/24/2016 03:56:37.7988 PM,11.18468,42.55152,-71.26897,33,18.4,5.110039,4
03/24/2016 03:56:38.8011 PM,11.18468,42.55157,-71.26894,32,27.9,5.575608,3
03/24/2016 03:56:39.7245 PM,12.42742,42.55163,-71.26889,33,27.7,6.284585,3
03/24/2016 03:56:40.8186 PM,13.67017,42.55168,-71.26886,33,22.8,6.852109,3
03/24/2016 03:56:42.0149 PM,16.15565,42.55175,-71.26883,33,8.5,7.228388,3
03/24/2016 03:56:43.8530 PM,18.01976,42.55188,-71.26882,33,359.5,8.392884,3
03/24/2016 03:56:44.8001 PM,17.39839,42.55195,-71.26882,33,359.5,8.390721,3
03/24/2016 03:56:45.8188 PM,19.88388,42.55204,-71.26886,33,348.9,9.311375,3
03/24/2016 03:56:46.8342 PM,21.12662,42.55212,-71.26888,31,344.5,9.750416,3
03/24/2016 03:56:47.8081 PM,21.12662,42.55221,-71.26892,31,340.3,10.30012,3
03/24/2016 03:56:48.7274 PM,22.99073,42.55229,-71.26897,31,341.2,9.871297,3
03/24/2016 03:56:49.7973 PM,22.36936,42.55238,-71.269,32,337.3,10.1283,3
03/24/2016 03:56:50.7983 PM,22.36936,42.55246,-71.26905,33,338.6,10.09793,3
03/24/2016 03:56:51.9907 PM,22.36936,42.55256,-71.2691,34,339.4,10.39058,3
